Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
GTCJ_MADIS|CHIEF JOSEPH|43.79035|-110.94510|2700 meters|snowdepth|2015-02-19 06|200.660|cm|83012|
TENQ2|TENQUILLE LAKE|50.53600|-122.93000|1671 meters|snowdepth|2015-02-19 06|200.000|cm||
STTM8|STUART MOUNTAIN|46.99510|-113.92660|2215 meters|snowdepth|2015-02-19 06|195.580|cm|59802|
ME-WS-24|EASTPORT 1.5 SE, ME|44.90670|-66.98660|23 meters|snowdepth|2015-02-18 12|195.580|cm|04631|
JHMWY|JACKSON HOLE-MID MT|43.59000|-110.84000|2078 meters|snowdepth|2015-02-19 06|193.040|cm|83014|
HRPW1|HARTS PASS|48.72040|-120.65850|1982 meters|snowdepth|2015-02-19 06|193.040|cm|00076|
COLI1|COOL CREEK|46.76360|-115.29530|1928 meters|snowdepth|2015-02-19 06|193.040|cm|83544|
CHRO3|CHARLOTTE RIDGE|43.66920|-123.94360|363 meters|snowdepth|2015-02-19 06|192.278|cm|97467|
DDSI1|DEADWOOD SUMMIT|44.54480|-115.56300|2091 meters|snowdepth|2015-02-19 06|190.500|cm|83638|
BIGMS_MADIS|BIG MOUNTAIN SUMMIT: WHITEFISH|48.50248|-114.34210|2054 meters|snowdepth|2015-02-19 06|190.500|cm|59937|
BBSBT|BLIND BULL SUMMIT|42.97011|-110.61925|2758 meters|snowdepth|2015-02-19 06|190.500|cm|83122|
KOSQ2|KOSTAL LAKE SNOW PILLOW|52.20360|-120.03220|1762 meters|snowdepth|2015-02-19 06|188.011|cm||
TRMI1|TRINITY MTN.|43.62900|-115.43820|2382 meters|snowdepth|2015-02-19 06|187.960|cm|83601|
TOWC2|TOWER|40.53740|-106.67680|3245 meters|snowdepth|2015-02-19 06|187.960|cm|80487|
DHLM8|DARKHORSE LAKE|45.17370|-113.58450|2726 meters|snowdepth|2015-02-19 06|185.420|cm|59736|
MMNV1|MT. MANSFIELD|44.52480|-72.81540|1190 meters|snowdepth|2015-02-18 21|182.880|cm|05672|
LSLI1|LOST LAKE|47.07190|-115.95810|1692 meters|snowdepth|2015-02-19 06|182.880|cm|83873|
VNNI1|VIENNA MINE SNOTEL|43.79940|-114.85270|2727 meters|snowdepth|2015-02-19 06|180.340|cm|83340|
EVNW4|EVENING STAR SNOTEL|44.65260|-109.78420|2764 meters|snowdepth|2015-02-19 05|180.340|cm|82414|
SHKA2|SHAKTOOLIK RIVER RAWS|64.63270|-159.90210|554 meters|snowdepth|2015-02-19 06|178.308|cm|99765|
TWLM8|TWIN LAKES|46.14260|-114.50540|1955 meters|snowdepth|2015-02-19 06|177.800|cm|59840|
MCHM1|MACHIAS WWTP|44.72000|-67.45380|7 meters|snowdepth|2015-02-18 12|177.800|cm|04654|
GRSW4|GRASSY LAKE SNOTEL|44.12610|-110.83440|2239 meters|snowdepth|2015-02-19 06|177.800|cm|83012|
ALTTC_MADIS|TOP CECRET|40.57352|-111.61260|2932 meters|snowdepth|2015-02-19 06|177.013|cm|84121|
YNKQ2|YANKS PEAK EAST|52.83166|-121.35472|1682 meters|snowdepth|2015-02-19 06|176.987|cm||
PKMQ2|PARK MOUNTAIN SNOW PILLOW|50.44720|-118.61970|1850 meters|snowdepth|2015-02-19 06|175.997|cm||
SCDW4|SPRING CREEK DIVIDE SNOTEL|42.52540|-110.66150|2758 meters|snowdepth|2015-02-19 06|175.260|cm|83122|
LELC1|LEAVITT LAKE|38.27600|-119.61180|2928 meters|snowdepth|2015-02-19 06|175.260|cm|96107|
HOOM8|HOODOO BASIN|46.97500|-115.03490|1852 meters|snowdepth|2015-02-19 06|175.260|cm|59872|
CPCM8|COPPER CAMP|47.08160|-112.72960|2131 meters|snowdepth|2015-02-19 06|175.260|cm|59639|
BLBM8|BLACK BEAR|44.50830|-111.12800|2492 meters|snowdepth|2015-02-19 06|175.260|cm|59758|
CELQ2|CELISTA MOUNTAIN SNOW PILLOW|51.40600|-118.98570|1533 meters|snowdepth|2015-02-19 06|175.006|cm||
TGLU1|TONY GROVE LAKE|41.89840|-111.62960|2579 meters|snowdepth|2015-02-19 06|172.720|cm|84321|
TRPW4|TRIPLE PEAK SNOTEL|42.76390|-110.59140|2609 meters|snowdepth|2015-02-19 06|170.180|cm|83113|
TOPW4|TWO OCEAN PLATEAU SNOTEL|44.15180|-110.22120|2829 meters|snowdepth|2015-02-19 06|170.180|cm|82190|
SDMM8|SADDLE MTN.|45.69260|-113.96820|2407 meters|snowdepth|2015-02-19 06|167.640|cm|83463|
MBSW4|MED BOW|41.37830|-106.34680|3205 meters|snowdepth|2015-02-19 06|167.640|cm|82331|
CLN|ALTA - COLLINS|40.57630|-111.63830|2935 meters|snowdepth|2015-02-19 06|167.640|cm|84121|
RAIW1|RAINY PASS|48.51870|-120.73580|1505 meters|snowdepth|2015-02-19 06|165.100|cm|98852|
HEMI1|HEMLOCK BUTTE|46.48110|-115.63360|1772 meters|snowdepth|2015-02-19 06|165.100|cm|83544|
BADM8|BADGER PASS|48.13090|-113.02320|2092 meters|snowdepth|2015-02-19 06|165.100|cm|59448|
ATAI1|ATLANTA SUMMIT|43.75690|-115.23910|2308 meters|snowdepth|2015-02-19 06|165.100|cm|83601|
SHDQ2|SHEDIN RIVER SNOW PILLOW|55.86250|-127.69820|1319 meters|snowdepth|2015-02-19 06|164.998|cm||
STAM8|STAHL PEAK|48.90900|-114.86300|1854 meters|snowdepth|2015-02-19 06|162.560|cm|59917|
LWSW4|LEWIS LAKE DIVIDE SNOTEL|44.20860|-110.66630|2402 meters|snowdepth|2015-02-19 06|162.560|cm|82190|
WHTM8|WHITE MILL|45.04580|-109.90990|2666 meters|snowdepth|2015-02-19 06|160.020|cm|59030|
BBSW4|BLIND BULL SUMMIT SNOTEL|42.96400|-110.60970|2715 meters|snowdepth|2015-02-19 05|160.020|cm|83122|
BNTQ2|BURNT BRIDGE CREEK|52.48100|-126.24900|1324 meters|snowdepth|2015-02-19 06|159.995|cm||
WRMM8|WARM SPRINGS|46.27370|-113.16400|2394 meters|snowdepth|2015-02-19 06|157.480|cm|59858|
TOGW4|TOGWOTEE PASS SNOTEL|43.74900|-110.05780|2929 meters|snowdepth|2015-02-19 06|157.480|cm|83013|
PRKW4|PARKER PEAK SNOTEL|44.73400|-109.91480|2880 meters|snowdepth|2015-02-19 05|157.480|cm|82190|
PHBW4|PHILLIPS BENCH SNOTEL|43.51950|-110.91100|2464 meters|snowdepth|2015-02-19 06|157.480|cm|83014|
PCRW1|PARK CREEK RIDGE|48.44490|-120.91550|1411 meters|snowdepth|2015-02-19 06|157.480|cm|98852|
CLWW4|COTTONWOOD CREEK SNOTEL|42.64590|-110.81480|2364 meters|snowdepth|2015-02-19 06|157.480|cm|83126|
CHPW1|CHINOOK PASS NWAC|46.87280|-121.51560|1654 meters|snowdepth|2015-02-19 06|157.480|cm|98937|
CHP55_MADIS|CHINOOK PASS|46.87300|-121.51700|1679 meters|snowdepth|2015-02-19 06|157.480|cm|98937|
LKIC2|LAKE IRENE|40.41430|-105.81980|3258 meters|snowdepth|2015-02-19 06|154.940|cm|80447|
BLKQ2|BLACKWALL PEAK SNOW PILLOW|49.10000|-120.76670|1898 meters|snowdepth|2015-02-19 06|153.010|cm||
STZI1|SCHWEITZER BASIN|48.37430|-116.63920|1857 meters|snowdepth|2015-02-19 06|152.400|cm|83856|
BLTW4|BEARTOOTH LAKE SNOTEL|44.94300|-109.56750|2859 meters|snowdepth|2015-02-19 05|152.400|cm|82435|
AYTA2|ALYESKA WEATHER TOP|60.96280|-149.06890|825 meters|snowdepth|2015-02-18 15|152.400|cm|00198|
SPRM8|SPUR PARK|46.77960|-110.62170|2465 meters|snowdepth|2015-02-19 06|149.860|cm|59452|
NFCW4|NORTH FRENCH CREEK|41.33080|-106.37560|3093 meters|snowdepth|2015-02-19 06|147.320|cm|82331|
DHDI1|DOLLARHIDE SUMMIT|43.60250|-114.67420|2568 meters|snowdepth|2015-02-19 06|147.320|cm|83340|
BLHW4|BLACKHALL MTN|41.05620|-106.71380|3005 meters|snowdepth|2015-02-19 06|147.320|cm|82325|
WILW4|WILLOW CREEK SNOTEL|42.81510|-110.83520|2471 meters|snowdepth|2015-02-19 06|144.780|cm|83122|
SNLW4|SAND LAKE|41.46260|-106.28110|3078 meters|snowdepth|2015-02-19 06|144.780|cm|82083|
HWCI1|HOWELL CANYON|42.32110|-113.61560|2440 meters|snowdepth|2015-02-19 06|144.780|cm|83342|
BRCM8|BRACKETT CREEK|45.89110|-110.93850|2259 meters|snowdepth|2015-02-19 06|144.780|cm|59714|
BKSI1|BIG CREEK SUMMIT|44.62640|-115.79370|2005 meters|snowdepth|2015-02-19 06|144.780|cm|83611|
WICA2|WICKERSHAM DOME|65.17850|-148.07320|681 meters|snowdepth|2015-02-19 05|143.561|cm|99712|
CACMP_MADIS|CAMERON PASS|40.49371|-105.90830|3227 meters|snowdepth|2015-02-19 06|142.799|cm|80480|
WPNW1|WASHINGTON PASS - NWAC|48.52760|-120.64670|1641 meters|snowdepth|2015-02-19 06|142.240|cm|00076|
WAP55_MADIS|WASHINGTON PASS|48.52770|-120.65000|1719 meters|snowdepth|2015-02-19 06|142.240|cm|00076|
PVCW1|PARADISE NWAC|46.78750|-121.73330|1658 meters|snowdepth|2015-02-19 06|142.240|cm|98321|
PVC55|PARADISE-MT. RAINIER|46.78000|-121.74000|1505 meters|snowdepth|2015-02-19 06|142.240|cm|98361|
MNPM8|MONUMENT PEAK|45.21760|-110.23700|2678 meters|snowdepth|2015-02-19 06|142.240|cm|59047|
CRRM8|CARROT BASIN|44.96190|-111.29400|2803 meters|snowdepth|2015-02-19 06|142.240|cm|59758|
ZIRC2|ZIRKEL|40.79490|-106.59540|2855 meters|snowdepth|2015-02-19 06|139.700|cm|80480|
UDDU1|USU DOC DANIEL|41.90040|-111.50980|2480 meters|snowdepth|2015-02-19 06|139.700|cm|84321|
SATC2|SAWTOOTH|40.13690|-105.58620|2946 meters|snowdepth|2015-02-19 06|139.700|cm|80481|
GLSI1|GALENA SUMMIT|43.87500|-114.71360|2687 meters|snowdepth|2015-02-19 06|139.700|cm|83340|
COWBT|COWBOY VILLAGE|43.82600|-110.18900|2814 meters|snowdepth|2015-02-19 06|139.700|cm|83013|
BRMI1|BEAR MOUNTAIN|48.30580|-116.07450|1663 meters|snowdepth|2015-02-19 06|139.700|cm|83836|
GCKQ1|GARDINER CREEK - GARD|49.36100|-114.51580|1930 meters|snowdepth|2015-02-19 06|139.395|cm||
WPKW4|WHISKEY PARK|41.00290|-106.90850|2742 meters|snowdepth|2015-02-19 06|137.160|cm|82325|
RCPC2|RIPPLE CREEK|40.10810|-107.29410|3155 meters|snowdepth|2015-02-19 06|137.160|cm|81641|
JKPI1|JACKSON PEAK|44.05090|-115.44320|2158 meters|snowdepth|2015-02-19 06|137.160|cm|83622|
CAN-PE-19|CHARLOTTETOWN 6.5 NNW, CAN|46.29235|-63.17271|36 meters|snowdepth|2015-02-18 12|137.160|cm||
BRRI1|BRUNDAGE RESERVOIR|45.04320|-116.13250|1925 meters|snowdepth|2015-02-19 06|137.160|cm|83654|
BLWW4|BLACKWATER SNOTEL|44.37670|-109.79330|3007 meters|snowdepth|2015-02-19 05|137.160|cm|82414|
CAN-PE-20|BONSHAW 6.6 NNE, CAN|46.25080|-63.33420|64 meters|snowdepth|2015-02-18 12|135.890|cm||
CL002_MADIS|RIM|42.91167|-122.14860|2165 meters|snowdepth|2015-02-19 06|134.899|cm|97731|
OLDW4|OLD BATTLE|41.15400|-106.96940|3021 meters|snowdepth|2015-02-19 06|134.620|cm|82325|
MTMI1|MOUNTAIN MEADOWS|45.69690|-115.22970|1935 meters|snowdepth|2015-02-19 06|134.620|cm|83525|
MRSW1|MORSE LAKE|46.90570|-121.48270|1650 meters|snowdepth|2015-02-19 06|134.620|cm|98937|
LPSI1|LOLO PASS|46.63450|-114.58070|1621 meters|snowdepth|2015-02-19 06|134.620|cm|83525|
BKLW4|BROOKLYN LAKE|41.35880|-106.23210|3115 meters|snowdepth|2015-02-19 06|134.620|cm|82055|
SHFM8|SHOWER FALLS|45.40130|-110.95760|2465 meters|snowdepth|2015-02-19 06|132.080|cm|59730|
MRKI1|MORES CREEK SUMMIT|43.93200|-115.66590|1863 meters|snowdepth|2015-02-19 06|132.080|cm|83631|
MLKI1|MILL CREEK SUMMIT|44.47210|-114.48990|2690 meters|snowdepth|2015-02-19 06|132.080|cm|83226|
FBNI1|FRANKLIN BASIN|42.05070|-111.60200|2482 meters|snowdepth|2015-02-19 06|132.080|cm|83237|
BLDW4|BALD MOUNTAIN SNOTEL|44.80070|-107.84440|2869 meters|snowdepth|2015-02-19 05|132.080|cm|82426|
ARPC2|ARAPAHO RIDGE|40.35100|-106.38140|3354 meters|snowdepth|2015-02-19 06|132.080|cm|80430|
YHDQ2|YELLOWHEAD SNOW PILLOW|52.90000|-118.55000|1829 meters|snowdepth|2015-02-19 06|132.004|cm||
TTSID|TITUS STUDY PLOT|43.85780|-114.71420|2820 meters|snowdepth|2015-02-19 06|132.004|cm|83340|
SKAM8|SKALKAHO SUMMIT|46.24210|-113.77250|2215 meters|snowdepth|2015-02-19 05|129.540|cm|59840|
JWRC2|JOE WRIGHT|40.53210|-105.88700|3117 meters|snowdepth|2015-02-19 06|129.540|cm|80512|
BTSC2|BERTHOUD SUMMIT|39.80390|-105.77790|3455 meters|snowdepth|2015-02-19 06|129.540|cm|80446|
BOSQ2|BOSS MOUNTAIN MINE|52.11138|-120.86805|1454 meters|snowdepth|2015-02-19 06|129.007|cm||
BNRI1|BANNER SUMMIT|44.30330|-115.23330|2154 meters|snowdepth|2015-02-19 06|128.397|cm|83637|
PKC|PARK CITY - JUPITER|40.61350|-111.53950|3008 meters|snowdepth|2015-02-19 06|127.229|cm|84060|
WSAC2|SKI AREA|37.48330|-106.79060|3458 meters|snowdepth|2015-02-18 14|127.000|cm|81130|
ROBN2|15J16 - ROBINSON LK - AERIAL MARKER|40.73330|-115.26670|2744 meters|snowdepth|2015-02-19 02|127.000|cm|89815|
PLCM8|PLACER BASIN|45.41910|-110.08840|2683 meters|snowdepth|2015-02-19 06|127.000|cm|59052|
LBAC2|LOVELAND BASIN|39.67430|-105.90130|3497 meters|snowdepth|2015-02-19 06|127.000|cm|80452|
BSCW4|BASE CAMP SNOTEL|43.94580|-110.44680|2235 meters|snowdepth|2015-02-19 06|127.000|cm|83013|
ATAU1|ALTA|40.59060|-111.63690|2647 meters|snowdepth|2015-02-19 01|127.000|cm|84121|
BMOC1|BALD MTN|37.06690|-119.40000|1336 meters|snowdepth|2015-02-19 06|125.730|cm|93602|
SOCQ6|SOCKET LAKE|50.77870|-91.79300|389 meters|snowdepth|2015-02-19 06|125.501|cm||
CVSC1|CALAVERAS RANGER STN|38.19810|-120.36690|1051 meters|snowdepth|2015-02-19 06|124.714|cm|95223|
SCSI1|SECESH SUMMIT|45.18850|-115.97310|1977 meters|snowdepth|2015-02-19 06|124.460|cm|83638|
RESC2|RABBIT EARS|40.36780|-106.74040|2882 meters|snowdepth|2015-02-19 06|124.460|cm|80487|
MLKO3|MILK SHAKES|45.98220|-117.94880|1701 meters|snowdepth|2015-02-19 06|124.460|cm|97828|
LITW4|LITTLE SNAKE RIVER|41.07050|-106.94280|2728 meters|snowdepth|2015-02-19 06|124.460|cm|82325|
COLC2|COLUMBINE|40.39480|-106.60410|2790 meters|snowdepth|2015-02-19 06|124.460|cm|80430|
CINW4|CINNABAR PARK|41.23840|-106.23100|2957 meters|snowdepth|2015-02-19 03|124.460|cm|82055|
BOXBT|BOX Y RANCH|42.87700|-110.71800|2249 meters|snowdepth|2015-02-19 06|124.460|cm|83122|
BASI1|BANNER SUMMIT|44.30340|-115.23450|2158 meters|snowdepth|2015-02-19 06|124.460|cm|83637|
CDYBK_MADIS|CANYONS - DAYBREAK|40.64700|-111.57600|2832 meters|snowdepth|2015-02-19 06|124.028|cm|84098|
CASWP_MADIS|CSAS, SWAMP ANGEL, SAN JUAN CTY|37.90694|-107.71140|3377 meters|snowdepth|2015-02-19 06|122.606|cm|81427|
TRIW1|TRINITY SNOTEL|48.07500|-120.84970|879 meters|snowdepth|2015-02-19 06|121.920|cm|98826|
SBDU1|SNOWBIRD|40.56400|-111.65500|2942 meters|snowdepth|2015-02-19 06|121.920|cm|00100|
MRSN2|MT ROSE SKI AREA|39.31570|-119.89470|2688 meters|snowdepth|2015-02-19 06|121.920|cm|89511|
MCRU1|MONTE CRISTO|41.46580|-111.49670|2729 meters|snowdepth|2015-02-19 06|121.920|cm|84321|
HLNC2|HIGH LONESOME|40.03590|-105.75470|3250 meters|snowdepth|2015-02-19 06|121.920|cm|80446|
FMTC2|FREMONT PASS|39.37990|-106.19680|3436 meters|snowdepth|2015-02-19 06|121.920|cm|80435|
SOLSM_MADIS|SOLITUDE SUMMIT|40.60081|-111.60360|2944 meters|snowdepth|2015-02-19 06|121.666|cm|84121|
SVB1H_MADIS|SUN VALLEY-BALD MTN (1 HOUR)|43.66120|-114.40210|2715 meters|snowdepth|2015-02-19 06|119.405|cm|83340|
SOSC2|SCHOFIELD PASS|39.01520|-107.04880|3266 meters|snowdepth|2015-02-19 06|119.380|cm|81623|
NEVC2|NEVER SUMMER|40.40410|-105.95580|3142 meters|snowdepth|2015-02-19 06|119.380|cm|80480|
LYNN6|LYNDONVILLE|43.33910|-78.38930|98 meters|snowdepth|2015-02-18 14|119.380|cm|14098|
LWDI1|LOST-WOOD DIVIDE|43.82430|-114.26400|2412 meters|snowdepth|2015-02-19 06|119.380|cm|83340|
JAPN2|JACKS PEAK|41.53040|-116.01310|2295 meters|snowdepth|2015-02-19 06|119.380|cm|89801|
HANM1|HANCOCK 2.5 SE|44.50140|-68.22070|17 meters|snowdepth|2015-02-18 12|119.380|cm|04640|
GZPC2|GRIZZLY PEAK|39.64630|-105.86970|3404 meters|snowdepth|2015-02-19 06|119.380|cm|80435|
FMNU1|FARMINGTON|40.97480|-111.80930|2415 meters|snowdepth|2015-02-19 06|119.380|cm|84025|
FCVC2|FOOL CREEK|39.86870|-105.86750|3404 meters|snowdepth|2015-02-19 06|119.380|cm|80446|
ELBI1|ELK BUTTE|46.84000|-116.12230|1731 meters|snowdepth|2015-02-19 06|119.380|cm|83544|
BOMM8|BOULDER MOUNTAIN|46.55960|-111.28970|2412 meters|snowdepth|2015-02-19 06|119.380|cm|59645|
GTMC1|GOAT MTN|37.27000|-119.54310|1154 meters|snowdepth|2015-02-19 06|117.348|cm|93669|
WPS59|WHITE PASS-TOP|46.62000|-121.39000|1748 meters|snowdepth|2015-02-19 06|116.840|cm|98937|
WHEI1|WHITE ELEPHANT|44.53270|-111.41090|2348 meters|snowdepth|2015-02-19 06|116.840|cm|83429|
UVCC2|UNIVERSITY CAMP|40.03280|-105.57610|3159 meters|snowdepth|2015-02-19 06|116.840|cm|80481|
UPPA2|UPPER TSAINA RIVER|61.19110|-145.64810|529 meters|snowdepth|2015-02-19 06|116.840|cm|99686|
SKRW4|SOUTH ENTRANCE YNP SNAKE RIVER STATION - SNOTEL|44.13360|-110.66920|2103 meters|snowdepth|2015-02-19 06|116.840|cm|82190|
SCHO3|SCHNEIDER MEADOWS|45.00110|-117.16520|1653 meters|snowdepth|2015-02-19 06|116.840|cm|97834|
LRVC2|LONG DRAW RESVR SNOTEL|40.51230|-105.76560|3057 meters|snowdepth|2015-02-19 06|116.840|cm|80512|
FARM1|FARMINGTON,ME|44.68330|-70.15000|180 meters|snowdepth|2015-02-18 12|116.840|cm|04938|
EPSW1|21A07 - EASY PASS AM|48.85930|-121.43890|1600 meters|snowdepth|2015-02-19 02|116.840|cm|00072|
DWDI1|DEADWOOD LODGE|44.46220|-115.58170|1723 meters|snowdepth|2015-02-18 14|116.840|cm|83638|
DDMC2|DEADMAN HILL|40.80570|-105.76990|3130 meters|snowdepth|2015-02-19 06|116.840|cm|80545|
SLDMS_MADIS|SOLDIER MOUNTAIN STUDY PLOT|43.48816|-114.88830|2446 meters|snowdepth|2015-02-19 06|116.307|cm|83327|
TMLO3|TIMBERLINE BASE|45.33150|-121.71210|1819 meters|snowdepth|2015-02-19 06|114.300|cm|97028|
TIM60_MADIS|TIMBERLINE LODGE - BASE|45.33200|-121.71300|1829 meters|snowdepth|2015-02-19 06|114.300|cm|97028|
SYLW4|SYLVAN LAKE SNOTEL|44.47790|-110.15540|2588 meters|snowdepth|2015-02-19 06|114.300|cm|82190|
SNRW1|SUNRISE MT. RAINIER NP|46.91430|-121.64420|1947 meters|snowdepth|2015-02-19 06|114.300|cm|98321|
MREA2|MOORE CREEK BRIDGE|59.59360|-135.19450|792 meters|snowdepth|2015-02-19 06|114.300|cm|99840|
MPLM8|MADISON PLATEAU|44.58620|-111.11630|2359 meters|snowdepth|2015-02-19 06|114.300|cm|59758|
MA-ES-12|BOXFORD 2.4 S, MA|42.63970|-70.97970|27 meters|snowdepth|2015-02-18 12|114.300|cm|01921|
HOOC2|HOOSIER PASS|39.36130|-106.05980|3538 meters|snowdepth|2015-02-18 08|114.300|cm|80440|
HDLI1|HIDDEN LAKE|48.89370|-116.75750|1525 meters|snowdepth|2015-02-19 06|114.300|cm|83805|
CUMC2|CUMBRES TRESTLE|37.01880|-106.45180|3054 meters|snowdepth|2015-02-19 06|114.300|cm|81120|
BROBT|BROOKS LAKE LODGE|43.73300|-110.01000|2867 meters|snowdepth|2015-02-19 06|114.300|cm|82513|
FRAQ2|FRASER|59.71550|-135.05030|885 meters|snowdepth|2015-02-19 06|114.198|cm||
BR_MADIS|BOGUS RIDGE|43.75877|-116.09040|2114 meters|snowdepth|2015-02-19 06|112.192|cm|83716|
WPRC2|WILLOW PARK|40.43250|-105.73340|3270 meters|snowdepth|2015-02-19 06|111.760|cm|80517|
WHSM8|ELK PEAK|46.48450|-110.71250|2317 meters|snowdepth|2015-02-19 06|111.760|cm|59645|
SNKW4|SNAKE RIVER RS - COOP|44.13330|-110.66580|2103 meters|snowdepth|2015-02-18 14|111.760|cm|82190|
MOQI1|MOSQUITO RIDGE|48.05740|-116.23050|1606 meters|snowdepth|2015-02-19 06|111.760|cm|83837|
LOPW4|LOOMIS PARK SNOTEL|43.17390|-110.14010|2520 meters|snowdepth|2015-02-19 06|111.760|cm|82922|
KBGR|BANGOR INTL AIRPORT|44.80000|-68.81666|45 meters|snowdepth|2015-02-19 06|111.760|cm|04401|
